Local Authority Code,Region,Second Tier Authority,Local Authority,Calendar Year,Greenhouse gas,Agriculture,Commercial,Domestic,Industry,Public Sector,Transport,CO2_Grand Total
E06000013,Yorkshire and the Humber,North Lincolnshire,North Lincolnshire,2020,CO2,26.0,40.0,252.0,5680.0,12.0,413.0,6423.0
E08000025,West Midlands,Birmingham,Birmingham,2020,CO2,4.0,336.0,1333.0,528.0,245.0,1275.0,3721.0
E06000050,North West,Cheshire,Cheshire West and Chester,2020,CO2,51.0,176.0,516.0,1832.0,68.0,758.0,3475.0
E08000035,Yorkshire and the Humber,Leeds,Leeds,2020,CO2,13.0,284.0,1050.0,492.0,177.0,1447.0,3473.0
E07000037,East Midlands,Derbyshire,High Peak,2020,CO2,12.0,23.0,144.0,2362.0,10.0,136.0,2686.0
E06000004,North East,Stockton-on-Tees,Stockton-on-Tees,2020,CO2,11.0,80.0,270.0,1735.0,41.0,295.0,2458.0
E06000060,South East,Buckinghamshire,Buckinghamshire,2020,CO2,49.0,152.0,858.0,147.0,84.0,1141.0,2430.0
E06000011,Yorkshire and the Humber,East Riding of Yorkshire,East Riding of Yorkshire,2020,CO2,128.0,120.0,563.0,815.0,55.0,692.0,2374.0
E06000054,South West,Wiltshire,Wiltshire,2020,CO2,129.0,137.0,680.0,282.0,102.0,1005.0,2335.0
E06000052,South West,Cornwall,Cornwall,2020,CO2,169.0,203.0,725.0,314.0,63.0,853.0,2331.0
